year,month,hour_of_day,incident_type_primary,day_of_week
2022,4,13,ASSAULT,Saturday
2022,4,12,LARCENY/THEFT,Saturday
2022,6,13,ASSAULT,Wednesday
2022,8,7,UUV,Thursday
2022,4,7,LARCENY/THEFT,Monday
2022,8,10,LARCENY/THEFT,Friday
2022,8,15,ASSAULT,Thursday
2022,8,19,LARCENY/THEFT,Thursday
2022,8,1,RAPE,Friday
2022,8,11,BURGLARY,Thursday
2022,8,8,ASSAULT,Thursday
2022,6,8,UUV,Tuesday
2022,8,11,LARCENY/THEFT,Thursday
2022,8,17,LARCENY/THEFT,Thursday
2022,4,15,LARCENY/THEFT,Monday
2022,4,17,LARCENY/THEFT,Saturday
2022,4,4,LARCENY/THEFT,Saturday
2022,4,5,BURGLARY,Saturday
2022,4,14,ASSAULT,Saturday
2022,8,20,LARCENY/THEFT,Thursday
2022,4,9,BURGLARY,Sunday
2022,4,4,ASSAULT,Saturday
2022,8,0,ASSAULT,Friday
2022,4,17,LARCENY/THEFT,Saturday
2022,6,10,LARCENY/THEFT,Wednesday
2022,8,17,ASSAULT,Thursday
2022,4,18,LARCENY/THEFT,Saturday
2022,8,12,LARCENY/THEFT,Friday
2022,8,19,ASSAULT,Thursday
2022,4,15,BURGLARY,Saturday
2022,8,14,LARCENY/THEFT,Sunday
2022,8,18,LARCENY/THEFT,Thursday
2022,8,9,UUV,Thursday
2022,4,21,THEFT OF SERVICES,Saturday
2022,8,7,LARCENY/THEFT,Thursday
2022,4,0,ASSAULT,Sunday
2022,4,16,LARCENY/THEFT,Monday
2022,4,15,ASSAULT,Monday
2022,4,21,ROBBERY,Tuesday
2022,4,18,UUV,Tuesday
2022,6,16,LARCENY/THEFT,Monday
2022,8,21,LARCENY/THEFT,Thursday
2022,8,21,UUV,Thursday
2022,8,9,ASSAULT,Thursday
2022,8,18,LARCENY/THEFT,Thursday
2022,6,12,LARCENY/THEFT,Friday
2022,6,19,UUV,Thursday
2022,6,14,UUV,Sunday
2022,4,11,LARCENY/THEFT,Thursday
2022,4,7,LARCENY/THEFT,Friday
2022,4,14,LARCENY/THEFT,Thursday
2022,6,8,UUV,Thursday
2022,4,18,BURGLARY,Thursday
2022,8,11,THEFT OF SERVICES,Thursday
2022,8,14,LARCENY/THEFT,Thursday
2022,6,1,ASSAULT,Friday
2022,8,13,LARCENY/THEFT,Thursday
2022,8,20,LARCENY/THEFT,Monday
2022,8,15,UUV,Friday
2022,6,19,LARCENY/THEFT,Thursday
2022,8,8,BURGLARY,Monday
2022,6,16,ROBBERY,Thursday
2022,4,20,LARCENY/THEFT,Friday
2022,6,13,UUV,Thursday
2022,6,14,UUV,Friday
2022,6,16,LARCENY/THEFT,Thursday
