year,month,hour_of_day,incident_type_primary,day_of_week
2013,9,2,ASSAULT,Tuesday
2008,8,23,LARCENY/THEFT,Wednesday
2015,4,5,ASSAULT,Wednesday
2013,7,11,BURGLARY,Wednesday
2012,5,22,ASSAULT,Thursday
2005,11,16,BURGLARY,Friday
2017,3,19,BURGLARY,Monday
2010,5,1,LARCENY/THEFT,Friday
2015,7,12,LARCENY/THEFT,Wednesday
2016,3,11,ROBBERY,Tuesday
2009,5,0,LARCENY/THEFT,Saturday
2018,11,9,LARCENY/THEFT,Thursday
2021,9,8,LARCENY/THEFT,Wednesday
2019,1,4,ROBBERY,Friday
2012,8,0,UUV,Thursday
2016,5,18,LARCENY/THEFT,Wednesday
2007,7,14,ROBBERY,Saturday
2017,12,3,THEFT OF SERVICES,Thursday
2009,8,0,ASSAULT,Saturday
2008,10,3,RAPE,Saturday
2014,10,0,BURGLARY,Wednesday
2018,5,12,ASSAULT,Monday
2021,11,10,ASSAULT,Wednesday
2017,1,0,ROBBERY,Wednesday
2010,3,17,BURGLARY,Wednesday
2011,2,9,UUV,Friday
2016,10,4,UUV,Tuesday
2019,12,12,LARCENY/THEFT,Saturday
2020,11,15,LARCENY/THEFT,Wednesday
2008,12,17,LARCENY/THEFT,Monday
2014,6,8,ROBBERY,Tuesday
2018,8,19,RAPE,Thursday
2009,12,15,LARCENY/THEFT,Wednesday
2013,8,16,ASSAULT,Tuesday
2006,11,0,ROBBERY,Friday
2015,8,22,LARCENY/THEFT,Sunday
2012,6,4,UUV,Monday
2011,3,12,LARCENY/THEFT,Thursday
2010,5,17,RAPE,Wednesday
2007,11,21,ASSAULT,Sunday
2011,9,0,LARCENY/THEFT,Monday
2017,5,13,ASSAULT,Thursday
2021,1,21,ASSAULT,Saturday
2017,7,8,LARCENY/THEFT,Wednesday
2008,9,0,LARCENY/THEFT,Wednesday
2021,2,15,LARCENY/THEFT,Monday
2011,1,0,ASSAULT,Friday
2013,12,22,LARCENY/THEFT,Tuesday
2008,9,12,ASSAULT,Wednesday
2011,8,3,LARCENY/THEFT,Sunday
2022,1,9,ASSAULT,Saturday
2007,10,17,ASSAULT,Tuesday
2017,9,19,ASSAULT,Monday
2008,9,1,LARCENY/THEFT,Thursday
2013,1,0,BURGLARY,Saturday
2013,1,22,LARCENY/THEFT,Saturday
2015,5,11,BURGLARY,Saturday
2009,5,17,ASSAULT,Sunday
2012,4,12,LARCENY/THEFT,Sunday
2009,9,1,ROBBERY,Wednesday
2009,12,8,LARCENY/THEFT,Tuesday
2009,8,17,LARCENY/THEFT,Monday
2014,4,18,LARCENY/THEFT,Friday
2012,10,16,LARCENY/THEFT,Tuesday
2009,6,14,LARCENY/THEFT,Friday
2022,3,18,UUV,Wednesday
2017,7,0,ASSAULT,Wednesday
2018,2,6,ASSAULT,Saturday
2008,11,9,LARCENY/THEFT,Friday
2016,9,12,LARCENY/THEFT,Monday
2017,6,19,LARCENY/THEFT,Friday
2007,3,0,LARCENY/THEFT,Monday
2012,8,23,ASSAULT,Wednesday
2012,5,20,LARCENY/THEFT,Thursday
2016,7,1,BURGLARY,Sunday
2020,11,11,UUV,Saturday
2011,4,20,SEXUAL ABUSE,Thursday
2013,2,10,UUV,Sunday
2011,9,3,BURGLARY,Thursday
2009,12,19,LARCENY/THEFT,Sunday
2007,4,12,LARCENY/THEFT,Saturday
2007,5,8,UUV,Thursday
2017,10,20,UUV,Thursday
2009,7,21,LARCENY/THEFT,Friday
2009,10,15,ASSAULT,Friday
2008,6,20,BURGLARY,Thursday
2020,7,20,LARCENY/THEFT,Sunday
2010,10,21,LARCENY/THEFT,Sunday
2017,9,16,LARCENY/THEFT,Tuesday
2015,3,21,ROBBERY,Friday
2008,7,1,LARCENY/THEFT,Monday
2016,4,2,BURGLARY,Sunday
2012,3,16,ASSAULT,Saturday
2016,12,8,ROBBERY,Monday
2009,1,22,LARCENY/THEFT,Sunday
2016,4,8,UUV,Friday
2011,10,16,LARCENY/THEFT,Friday
2006,9,0,LARCENY/THEFT,Friday
2014,12,20,UUV,Saturday
2006,10,11,UUV,Wednesday
2012,6,20,BURGLARY,Monday
2007,9,0,LARCENY/THEFT,Wednesday
2009,8,2,LARCENY/THEFT,Friday
2018,2,2,ASSAULT,Saturday
2014,8,13,LARCENY/THEFT,Tuesday
2008,7,21,ASSAULT,Wednesday
2006,1,13,LARCENY/THEFT,Sunday
2014,9,23,LARCENY/THEFT,Sunday
2006,9,14,BURGLARY,Sunday
2008,8,23,ASSAULT,Monday
2017,7,3,ASSAULT,Sunday
2019,12,5,BURGLARY,Thursday
2019,1,20,ASSAULT,Wednesday
2009,11,18,LARCENY/THEFT,Tuesday
2014,11,13,ASSAULT,Thursday
2010,7,20,LARCENY/THEFT,Wednesday
2014,8,20,ASSAULT,Saturday
2014,8,17,LARCENY/THEFT,Friday
2013,1,17,ASSAULT,Tuesday
2016,11,6,UUV,Saturday
2016,2,0,ROBBERY,Tuesday
2015,8,3,LARCENY/THEFT,Friday
2011,2,6,ASSAULT,Monday
2015,12,13,LARCENY/THEFT,Wednesday
2013,5,14,LARCENY/THEFT,Monday
2010,3,0,RAPE,Monday
2008,7,10,LARCENY/THEFT,Friday
2012,7,16,BURGLARY,Sunday
2021,3,11,LARCENY/THEFT,Tuesday
2012,7,11,LARCENY/THEFT,Friday
2010,7,0,LARCENY/THEFT,Monday
2006,6,12,UUV,Wednesday
2012,10,11,LARCENY/THEFT,Friday
2009,12,13,BURGLARY,Sunday
2018,11,12,ASSAULT,Saturday
2007,9,21,ROBBERY,Saturday
2016,4,11,LARCENY/THEFT,Monday
2010,7,0,LARCENY/THEFT,Thursday
2016,5,16,BURGLARY,Monday
2012,2,17,LARCENY/THEFT,Wednesday
2017,11,19,BURGLARY,Friday
2014,12,12,LARCENY/THEFT,Saturday
2011,6,10,UUV,Thursday
2020,3,14,BURGLARY,Friday
2013,8,16,LARCENY/THEFT,Sunday
2018,6,0,ASSAULT,Tuesday
2016,6,0,LARCENY/THEFT,Friday
2012,10,23,BURGLARY,Saturday
2016,2,3,LARCENY/THEFT,Sunday
2020,5,11,UUV,Wednesday
2014,2,21,ASSAULT,Friday
2011,11,16,ASSAULT,Saturday
2008,12,0,ASSAULT,Saturday
2014,3,16,LARCENY/THEFT,Saturday
2019,4,15,ASSAULT,Tuesday
2010,12,6,ASSAULT,Sunday
2010,8,9,ROBBERY,Friday
2011,8,22,ASSAULT,Friday
2013,5,18,ROBBERY,Tuesday
2009,10,0,LARCENY/THEFT,Wednesday
2014,8,22,LARCENY/THEFT,Saturday
2015,8,17,LARCENY/THEFT,Friday
2011,10,6,BURGLARY,Sunday
2021,7,8,LARCENY/THEFT,Wednesday
2008,11,20,LARCENY/THEFT,Saturday
2010,12,17,LARCENY/THEFT,Friday
2018,8,6,ASSAULT,Friday
2016,5,19,ASSAULT,Monday
2021,8,9,ROBBERY,Tuesday
2012,6,22,LARCENY/THEFT,Sunday
2012,8,17,ASSAULT,Tuesday
2011,7,22,ROBBERY,Friday
2010,6,14,LARCENY/THEFT,Tuesday
2015,4,20,LARCENY/THEFT,Thursday
2019,12,0,LARCENY/THEFT,Monday
2010,7,16,BURGLARY,Friday
2015,1,11,SEXUAL ABUSE,Tuesday
2012,7,5,ASSAULT,Sunday
2011,8,15,LARCENY/THEFT,Tuesday
2020,7,0,UUV,Thursday
2012,1,19,THEFT OF SERVICES,Monday
2020,8,3,UUV,Tuesday
2006,10,4,ASSAULT,Tuesday
2007,4,0,LARCENY/THEFT,Tuesday
2018,2,16,BURGLARY,Friday
2002,1,0,SEXUAL ABUSE,Tuesday
2014,10,18,BURGLARY,Wednesday
2009,4,11,BURGLARY,Sunday
2013,4,8,ASSAULT,Friday
2013,7,16,LARCENY/THEFT,Friday
2006,1,8,LARCENY/THEFT,Tuesday
2006,4,23,LARCENY/THEFT,Saturday
2019,5,11,BURGLARY,Thursday
2006,5,2,LARCENY/THEFT,Tuesday
2017,1,22,LARCENY/THEFT,Monday
2019,7,20,BURGLARY,Friday
2014,9,15,ASSAULT,Wednesday
2011,9,23,LARCENY/THEFT,Tuesday
2015,2,17,LARCENY/THEFT,Wednesday
2007,4,19,LARCENY/THEFT,Tuesday
2013,1,20,ASSAULT,Wednesday
2019,7,19,ASSAULT,Friday
2010,6,21,LARCENY/THEFT,Saturday
2007,4,21,LARCENY/THEFT,Wednesday
2018,3,12,LARCENY/THEFT,Wednesday
2013,7,0,UUV,Wednesday
2008,12,19,BURGLARY,Sunday
2009,5,0,LARCENY/THEFT,Wednesday
2007,11,12,UUV,Sunday
2010,10,19,ASSAULT,Tuesday
2006,7,8,LARCENY/THEFT,Monday
2006,12,16,LARCENY/THEFT,Sunday
2012,4,12,LARCENY/THEFT,Friday
2006,5,0,LARCENY/THEFT,Thursday
2014,3,0,LARCENY/THEFT,Wednesday
2019,9,19,ASSAULT,Saturday
2019,6,16,ASSAULT,Sunday
2007,4,5,BURGLARY,Friday
2017,11,13,UUV,Thursday
2015,10,11,ASSAULT,Tuesday
2015,4,13,BURGLARY,Thursday
2010,6,14,UUV,Friday
2021,10,8,LARCENY/THEFT,Wednesday
2012,2,18,ASSAULT,Sunday
2017,1,17,LARCENY/THEFT,Monday
2013,2,22,ASSAULT,Wednesday
2013,7,22,BURGLARY,Friday
2010,6,18,LARCENY/THEFT,Wednesday
2017,12,22,ASSAULT,Wednesday
2017,8,12,UUV,Wednesday
2014,5,4,SEXUAL ABUSE,Monday
2006,8,0,LARCENY/THEFT,Friday
2008,8,1,LARCENY/THEFT,Sunday
2008,9,16,LARCENY/THEFT,Saturday
2011,1,16,LARCENY/THEFT,Tuesday
2006,9,16,BURGLARY,Sunday
2018,4,13,LARCENY/THEFT,Monday
2014,3,0,LARCENY/THEFT,Saturday
2017,3,8,LARCENY/THEFT,Sunday
2018,7,3,BURGLARY,Friday
2011,1,13,BURGLARY,Saturday
2015,10,14,LARCENY/THEFT,Sunday
2012,1,22,ASSAULT,Saturday
2009,6,11,LARCENY/THEFT,Monday
2009,9,16,ROBBERY,Monday
2020,3,16,ROBBERY,Wednesday
2016,6,12,LARCENY/THEFT,Thursday
2017,11,8,UUV,Friday
2010,9,0,ROBBERY,Saturday
2021,2,8,LARCENY/THEFT,Friday
2020,2,17,ROBBERY,Monday
2016,2,21,ASSAULT,Wednesday
2021,9,2,LARCENY/THEFT,Wednesday
2009,6,15,LARCENY/THEFT,Wednesday
2016,4,10,UUV,Saturday
2007,2,2,THEFT OF SERVICES,Saturday
2014,3,19,LARCENY/THEFT,Thursday
2013,5,9,LARCENY/THEFT,Thursday
2016,8,9,ASSAULT,Friday
2006,8,16,LARCENY/THEFT,Thursday
2015,2,5,BURGLARY,Sunday
2018,7,0,ASSAULT,Thursday
2020,12,23,UUV,Friday
2021,8,15,ASSAULT,Saturday
2007,3,19,LARCENY/THEFT,Wednesday
2008,10,18,LARCENY/THEFT,Sunday
2015,5,9,LARCENY/THEFT,Sunday
2014,5,23,LARCENY/THEFT,Wednesday
2021,12,15,ASSAULT,Friday
2016,11,21,LARCENY/THEFT,Thursday
2010,7,14,LARCENY/THEFT,Wednesday
2010,11,0,LARCENY/THEFT,Tuesday
2021,1,15,LARCENY/THEFT,Sunday
2010,8,1,BURGLARY,Tuesday
2007,10,0,LARCENY/THEFT,Sunday
2016,1,17,LARCENY/THEFT,Tuesday
2010,5,6,LARCENY/THEFT,Sunday
2008,9,14,ROBBERY,Thursday
2012,10,21,ROBBERY,Tuesday
2017,8,21,ROBBERY,Wednesday
2011,3,6,BURGLARY,Friday
2013,3,20,ASSAULT,Monday
2009,6,16,ASSAULT,Sunday
2021,10,16,ROBBERY,Friday
2008,11,3,LARCENY/THEFT,Wednesday
2014,12,16,ROBBERY,Wednesday
2017,6,18,BURGLARY,Wednesday
2011,8,13,LARCENY/THEFT,Wednesday
2010,1,10,ASSAULT,Tuesday
2017,2,0,ASSAULT,Monday
2016,9,3,UUV,Wednesday
2010,5,0,UUV,Monday
2006,12,19,ROBBERY,Saturday
2011,9,18,UUV,Monday
2020,9,23,LARCENY/THEFT,Thursday
2017,4,21,LARCENY/THEFT,Monday
2007,7,0,ASSAULT,Saturday
2012,12,12,UUV,Saturday
2015,9,10,THEFT OF SERVICES,Monday
2011,8,10,BURGLARY,Sunday
2015,3,8,ASSAULT,Monday
2010,12,16,BURGLARY,Wednesday
2015,2,17,LARCENY/THEFT,Sunday
2012,8,17,LARCENY/THEFT,Monday
2009,12,2,ASSAULT,Tuesday
2009,11,10,ROBBERY,Sunday
2021,8,15,LARCENY/THEFT,Wednesday
2022,2,10,ASSAULT,Saturday
2006,2,0,UUV,Wednesday
2015,7,22,BURGLARY,Sunday
2008,10,20,LARCENY/THEFT,Sunday
2009,10,19,UUV,Wednesday
2012,5,0,LARCENY/THEFT,Saturday
2007,8,20,LARCENY/THEFT,Wednesday
2007,12,3,LARCENY/THEFT,Thursday
2018,5,16,BURGLARY,Friday
2016,11,20,LARCENY/THEFT,Saturday
2019,6,19,LARCENY/THEFT,Friday
2019,6,17,LARCENY/THEFT,Tuesday
2008,8,0,BURGLARY,Saturday
2014,5,15,BURGLARY,Saturday
2013,8,8,LARCENY/THEFT,Thursday
2019,9,14,ROBBERY,Saturday
2018,1,9,ASSAULT,Sunday
2016,12,11,ASSAULT,Saturday
2008,9,16,ASSAULT,Thursday
2010,3,10,LARCENY/THEFT,Monday
2012,1,0,LARCENY/THEFT,Thursday
2014,5,12,LARCENY/THEFT,Monday
2011,7,12,BURGLARY,Saturday
2010,9,0,LARCENY/THEFT,Saturday
2016,10,19,ASSAULT,Sunday
2008,7,20,LARCENY/THEFT,Sunday
2021,1,12,ASSAULT,Tuesday
2021,8,18,ASSAULT,Wednesday
2016,11,17,ASSAULT,Tuesday
2015,7,21,ASSAULT,Friday
2016,5,11,LARCENY/THEFT,Wednesday
2007,11,7,ASSAULT,Tuesday
2015,3,7,ASSAULT,Friday
2017,3,22,ASSAULT,Thursday
2016,7,11,LARCENY/THEFT,Saturday
2019,12,0,LARCENY/THEFT,Sunday
2010,7,20,ASSAULT,Monday
2010,11,13,BURGLARY,Wednesday
2011,3,0,LARCENY/THEFT,Tuesday
2009,6,2,ASSAULT,Tuesday
2009,10,11,LARCENY/THEFT,Tuesday
2017,1,1,LARCENY/THEFT,Friday
2013,2,0,LARCENY/THEFT,Monday
2012,2,14,ASSAULT,Friday
2016,6,14,LARCENY/THEFT,Saturday
2017,3,6,ASSAULT,Wednesday
2013,3,2,ROBBERY,Saturday
2014,12,19,LARCENY/THEFT,Tuesday
2009,11,16,LARCENY/THEFT,Thursday
2015,5,0,LARCENY/THEFT,Monday
2010,12,0,LARCENY/THEFT,Thursday
2011,12,22,ROBBERY,Tuesday
2016,5,19,LARCENY/THEFT,Sunday
2010,11,9,LARCENY/THEFT,Tuesday
2014,10,13,LARCENY/THEFT,Friday
2011,7,8,LARCENY/THEFT,Monday
2010,10,0,LARCENY/THEFT,Friday
2018,7,16,BURGLARY,Monday
2020,2,1,LARCENY/THEFT,Sunday
2008,9,3,BURGLARY,Monday
2011,3,4,ASSAULT,Saturday
2014,10,21,LARCENY/THEFT,Wednesday
2012,8,2,ASSAULT,Thursday
2009,4,18,LARCENY/THEFT,Thursday
2006,11,9,UUV,Tuesday
2022,3,18,LARCENY/THEFT,Tuesday
2009,8,8,ASSAULT,Friday
2014,5,12,LARCENY/THEFT,Tuesday
2014,9,7,LARCENY/THEFT,Thursday
2007,2,23,UUV,Monday
2021,11,20,LARCENY/THEFT,Wednesday
2007,3,16,LARCENY/THEFT,Tuesday
2009,8,14,LARCENY/THEFT,Sunday
2020,11,11,ASSAULT,Tuesday
2021,2,8,ASSAULT,Tuesday
2011,7,17,LARCENY/THEFT,Tuesday
2011,1,3,ASSAULT,Sunday
2020,1,8,LARCENY/THEFT,Monday
2015,9,20,ROBBERY,Sunday
2016,7,16,BURGLARY,Saturday
2011,11,12,LARCENY/THEFT,Monday
2006,5,18,LARCENY/THEFT,Sunday
2016,8,12,LARCENY/THEFT,Wednesday
2016,2,12,LARCENY/THEFT,Friday
2021,7,19,ASSAULT,Sunday
2015,5,19,ASSAULT,Saturday
2010,9,6,ASSAULT,Sunday
2021,10,21,UUV,Wednesday
2014,7,16,BURGLARY,Wednesday
2010,8,22,ROBBERY,Friday
2012,1,10,ASSAULT,Monday
2016,1,21,ASSAULT,Saturday
2009,7,17,LARCENY/THEFT,Friday
2014,10,23,RAPE,Tuesday
2021,10,16,LARCENY/THEFT,Thursday
2015,5,2,ASSAULT,Thursday
2011,8,4,ROBBERY,Wednesday
2010,3,0,LARCENY/THEFT,Monday
2021,1,16,ASSAULT,Friday
2021,4,13,LARCENY/THEFT,Friday
2014,1,20,ASSAULT,Wednesday
2017,3,19,BURGLARY,Wednesday
2013,4,19,UUV,Wednesday
2014,7,9,LARCENY/THEFT,Sunday
2010,9,18,LARCENY/THEFT,Sunday
2015,6,21,LARCENY/THEFT,Wednesday
2017,12,17,LARCENY/THEFT,Monday
2019,7,23,LARCENY/THEFT,Tuesday
2021,9,17,BURGLARY,Saturday
2013,3,20,LARCENY/THEFT,Tuesday
2009,7,23,LARCENY/THEFT,Tuesday
2008,11,17,BURGLARY,Sunday
2010,6,9,ASSAULT,Tuesday
2009,12,0,ASSAULT,Wednesday
2018,12,17,ROBBERY,Monday
2014,3,15,ROBBERY,Tuesday
2009,12,4,LARCENY/THEFT,Wednesday
2018,5,2,LARCENY/THEFT,Sunday
2010,4,21,LARCENY/THEFT,Saturday
2016,7,15,ASSAULT,Friday
2021,3,16,LARCENY/THEFT,Monday
2013,4,13,LARCENY/THEFT,Tuesday
2012,8,17,BURGLARY,Thursday
2012,11,9,LARCENY/THEFT,Sunday
2016,4,12,BURGLARY,Saturday
2011,4,1,ASSAULT,Saturday
2019,5,18,LARCENY/THEFT,Tuesday
2007,9,1,BURGLARY,Tuesday
2014,5,0,ROBBERY,Tuesday
2010,8,12,LARCENY/THEFT,Monday
2011,4,18,LARCENY/THEFT,Thursday
2008,10,0,LARCENY/THEFT,Thursday
2019,6,1,ASSAULT,Sunday
2018,3,20,ASSAULT,Tuesday
2016,4,19,ASSAULT,Thursday
2007,8,0,LARCENY/THEFT,Sunday
2017,11,16,LARCENY/THEFT,Tuesday
2012,1,15,ROBBERY,Thursday
2014,1,18,LARCENY/THEFT,Friday
2012,1,8,BURGLARY,Monday
2007,8,12,BURGLARY,Wednesday
2018,2,14,ASSAULT,Thursday
2011,11,22,ASSAULT,Saturday
2013,11,17,LARCENY/THEFT,Thursday
2011,12,16,BURGLARY,Saturday
2008,11,18,ASSAULT,Monday
2011,10,12,ROBBERY,Friday
2019,5,18,ASSAULT,Saturday
2011,12,19,LARCENY/THEFT,Thursday
2009,11,18,LARCENY/THEFT,Tuesday
2020,8,20,LARCENY/THEFT,Tuesday
2011,7,21,LARCENY/THEFT,Sunday
2014,12,23,ASSAULT,Saturday
2011,9,4,UUV,Sunday
2011,3,1,ASSAULT,Thursday
2020,5,12,LARCENY/THEFT,Friday
2021,6,2,ASSAULT,Friday
2011,10,9,ASSAULT,Monday
2019,3,15,LARCENY/THEFT,Sunday
2021,5,10,LARCENY/THEFT,Tuesday
2006,10,8,LARCENY/THEFT,Wednesday
2009,8,15,BURGLARY,Wednesday
2008,10,0,LARCENY/THEFT,Friday
2010,5,22,BURGLARY,Saturday
2007,9,16,ROBBERY,Wednesday
2010,2,7,ASSAULT,Friday
2012,10,3,BURGLARY,Wednesday
2006,8,12,LARCENY/THEFT,Thursday
2018,8,2,LARCENY/THEFT,Friday
2006,5,8,LARCENY/THEFT,Friday
2015,2,20,LARCENY/THEFT,Thursday
2006,5,23,BURGLARY,Saturday
2009,3,11,ROBBERY,Saturday
2012,3,8,ASSAULT,Tuesday
2009,5,21,ASSAULT,Saturday
2021,12,10,UUV,Friday
2019,4,15,BURGLARY,Friday
2011,7,23,ASSAULT,Thursday
2006,12,2,LARCENY/THEFT,Saturday
2015,4,23,RAPE,Monday
2009,1,16,LARCENY/THEFT,Friday
2010,6,0,ASSAULT,Wednesday
2017,11,12,LARCENY/THEFT,Wednesday
2006,2,8,UUV,Monday
2007,9,8,ASSAULT,Friday
2007,7,0,LARCENY/THEFT,Friday
2008,7,9,LARCENY/THEFT,Sunday
2010,6,0,ASSAULT,Wednesday
2020,10,23,ROBBERY,Thursday
2017,2,13,BURGLARY,Monday
2017,11,21,BURGLARY,Tuesday
2015,2,13,BURGLARY,Sunday
2020,11,9,UUV,Saturday
2018,2,19,LARCENY/THEFT,Wednesday
2007,7,0,LARCENY/THEFT,Sunday
2015,7,13,RAPE,Thursday
2018,9,2,LARCENY/THEFT,Sunday
2015,12,23,ROBBERY,Sunday
2009,7,1,ROBBERY,Sunday
2015,3,12,LARCENY/THEFT,Thursday
2014,4,20,ASSAULT,Tuesday
2018,5,0,UUV,Wednesday
2007,2,0,UUV,Wednesday
2014,7,7,BURGLARY,Monday
2020,10,6,UUV,Saturday
2006,1,16,UUV,Tuesday
2019,6,16,ASSAULT,Sunday
2021,1,11,UUV,Tuesday
2012,5,19,BURGLARY,Saturday
2019,11,10,ASSAULT,Sunday
2017,5,17,LARCENY/THEFT,Monday
2012,11,18,ASSAULT,Monday
2011,9,12,BURGLARY,Friday
2008,1,18,UUV,Saturday
2015,3,10,LARCENY/THEFT,Saturday
2012,4,3,UUV,Wednesday
2012,7,8,BURGLARY,Tuesday
2017,9,11,ASSAULT,Saturday
2011,3,3,BURGLARY,Wednesday
2015,11,6,ROBBERY,Sunday
2009,9,16,BURGLARY,Friday
2017,10,19,LARCENY/THEFT,Wednesday
2015,11,2,ASSAULT,Saturday
2008,11,12,LARCENY/THEFT,Saturday
2014,12,15,LARCENY/THEFT,Monday
2013,10,23,LARCENY/THEFT,Tuesday
2007,8,16,LARCENY/THEFT,Friday
2013,11,20,LARCENY/THEFT,Wednesday
2011,8,5,BURGLARY,Wednesday
2007,12,0,LARCENY/THEFT,Wednesday
2007,7,5,ROBBERY,Monday
2009,7,5,BURGLARY,Monday
2011,10,21,BURGLARY,Saturday
2019,4,13,ASSAULT,Saturday
2006,11,0,LARCENY/THEFT,Wednesday
2017,10,11,LARCENY/THEFT,Saturday
2019,5,19,LARCENY/THEFT,Wednesday
2008,9,13,BURGLARY,Wednesday
2015,9,16,ASSAULT,Monday
2019,11,0,ASSAULT,Sunday
2006,5,10,LARCENY/THEFT,Friday
2015,10,3,BURGLARY,Saturday
2010,12,6,UUV,Wednesday
2019,2,12,SEXUAL ABUSE,Friday
2015,4,22,ASSAULT,Friday
2007,3,19,LARCENY/THEFT,Tuesday
2007,3,0,ASSAULT,Monday
2015,7,16,LARCENY/THEFT,Tuesday
2006,12,17,LARCENY/THEFT,Sunday
2021,1,5,UUV,Saturday
2021,5,1,LARCENY/THEFT,Tuesday
2012,12,0,ROBBERY,Thursday
2009,10,17,UUV,Tuesday
2010,6,0,LARCENY/THEFT,Wednesday
2008,7,0,BURGLARY,Sunday
2008,11,22,ASSAULT,Saturday
2016,9,11,LARCENY/THEFT,Sunday
2015,9,0,LARCENY/THEFT,Wednesday
2006,6,21,ASSAULT,Tuesday
2012,1,9,BURGLARY,Thursday
2016,8,1,LARCENY/THEFT,Saturday
2011,1,0,BURGLARY,Saturday
2011,9,18,BURGLARY,Sunday
2016,5,11,LARCENY/THEFT,Sunday
2018,7,23,LARCENY/THEFT,Wednesday
2020,12,8,BURGLARY,Friday
2015,8,18,ASSAULT,Thursday
2014,3,14,ASSAULT,Sunday
2017,8,12,LARCENY/THEFT,Tuesday
2007,7,19,ASSAULT,Tuesday
2017,2,14,LARCENY/THEFT,Monday
2017,4,4,BURGLARY,Monday
2010,12,19,ROBBERY,Monday
2020,4,16,ASSAULT,Friday
2011,7,16,LARCENY/THEFT,Tuesday
2013,11,0,LARCENY/THEFT,Saturday
2017,5,14,UUV,Tuesday
2007,2,23,UUV,Saturday
2006,5,10,LARCENY/THEFT,Tuesday
2006,1,0,BURGLARY,Monday
2016,3,11,BURGLARY,Monday
2020,1,20,LARCENY/THEFT,Sunday
2017,2,20,LARCENY/THEFT,Thursday
2021,9,13,LARCENY/THEFT,Sunday
2008,11,0,ASSAULT,Thursday
2018,6,2,UUV,Sunday
2011,10,1,BURGLARY,Sunday
2008,8,17,LARCENY/THEFT,Friday
2021,11,10,ROBBERY,Saturday
2012,1,12,LARCENY/THEFT,Friday
2011,11,6,ASSAULT,Sunday
2015,7,16,LARCENY/THEFT,Saturday
2010,7,10,ASSAULT,Wednesday
2014,10,9,BURGLARY,Saturday
2007,5,23,LARCENY/THEFT,Monday
2008,8,11,LARCENY/THEFT,Tuesday
2007,3,1,LARCENY/THEFT,Friday
2007,1,18,BURGLARY,Sunday
2012,8,9,BURGLARY,Thursday
2021,1,15,BURGLARY,Monday
2008,9,11,LARCENY/THEFT,Wednesday
2015,1,11,BURGLARY,Thursday
2016,12,15,LARCENY/THEFT,Friday
2017,4,4,ASSAULT,Sunday
2009,10,21,BURGLARY,Friday
2016,9,21,LARCENY/THEFT,Friday
2013,4,9,BURGLARY,Monday
2020,12,0,LARCENY/THEFT,Saturday
2014,12,6,UUV,Saturday
2019,7,7,BURGLARY,Friday
2020,1,14,RAPE,Friday
2013,5,1,ROBBERY,Wednesday
2006,6,0,LARCENY/THEFT,Thursday
2008,8,16,BURGLARY,Monday
2011,3,13,BURGLARY,Friday
2011,3,0,BURGLARY,Sunday
2015,5,2,ASSAULT,Thursday
2019,9,3,BURGLARY,Wednesday
2007,9,21,ROBBERY,Sunday
2019,6,18,LARCENY/THEFT,Sunday
2022,3,11,BURGLARY,Sunday
2007,2,17,LARCENY/THEFT,Friday
2012,3,4,BURGLARY,Tuesday
2010,7,14,ASSAULT,Sunday
2017,4,0,BURGLARY,Wednesday
2008,11,0,BURGLARY,Friday
2010,1,0,ROBBERY,Friday
2010,4,0,LARCENY/THEFT,Thursday
2018,12,11,ASSAULT,Sunday
2009,12,0,BURGLARY,Tuesday
2021,5,10,LARCENY/THEFT,Wednesday
2016,8,19,LARCENY/THEFT,Thursday
2007,3,15,BURGLARY,Friday
2022,1,2,ROBBERY,Friday
2021,6,17,LARCENY/THEFT,Friday
2019,7,4,UUV,Monday
2013,5,3,ROBBERY,Sunday
2014,6,14,BURGLARY,Wednesday
2019,6,17,LARCENY/THEFT,Thursday
2010,8,1,LARCENY/THEFT,Friday
2019,8,12,BURGLARY,Wednesday
2009,5,18,ASSAULT,Monday
2015,11,16,ROBBERY,Wednesday
2014,2,20,LARCENY/THEFT,Thursday
2013,11,17,UUV,Monday
2010,1,3,ASSAULT,Sunday
2007,10,9,LARCENY/THEFT,Sunday
2011,12,22,UUV,Wednesday
2009,1,12,BURGLARY,Tuesday
2006,11,0,BURGLARY,Wednesday
2011,12,16,ROBBERY,Saturday
2008,12,21,BURGLARY,Monday
2013,5,9,ASSAULT,Saturday
2006,1,0,ASSAULT,Monday
2018,10,9,BURGLARY,Wednesday
2007,9,18,ASSAULT,Tuesday
2010,10,0,ASSAULT,Saturday
2016,10,15,LARCENY/THEFT,Wednesday
2018,7,12,LARCENY/THEFT,Sunday
2006,6,0,LARCENY/THEFT,Thursday
2020,8,9,LARCENY/THEFT,Monday
2015,7,10,LARCENY/THEFT,Wednesday
2010,4,12,LARCENY/THEFT,Monday
2010,9,0,BURGLARY,Monday
2014,2,6,LARCENY/THEFT,Thursday
2006,5,4,LARCENY/THEFT,Saturday
2015,7,14,LARCENY/THEFT,Friday
2015,11,20,ROBBERY,Monday
2012,10,19,LARCENY/THEFT,Tuesday
2022,2,11,UUV,Saturday
2013,10,13,ASSAULT,Monday
2009,1,9,BURGLARY,Monday
2011,8,21,LARCENY/THEFT,Thursday
2017,10,11,ROBBERY,Friday
